"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.776038167E0,-6.912727654E-2,-4.316297770E-1,-6.683759093E-1,7.986295768E-1
1.785979167E0,-1.249002069E-1,-3.151303828E-1,-6.856865287E-1,7.649008011E-1
1.795920167E0,-1.632151157E-1,-2.727714777E-1,-6.138064265E-1,6.912320756E-1
1.805861167E0,-1.919667572E-1,-2.110531181E-1,-4.940144420E-1,5.704778027E-1
1.815802167E0,-2.064865828E-1,-1.183940321E-1,-3.723929524E-1,4.419619517E-1
1.825743042E0,-1.989194900E-1,-5.929249898E-2,-2.589474916E-1,3.318710101E-1
1.835684042E0,-1.529115289E-1,-1.139980927E-2,-1.737625301E-1,2.317440575E-1
1.845625042E0,-9.323994070E-2,1.045835018E-2,-1.072767228E-1,1.425179248E-1
1.855566042E0,-4.257276654E-2,-2.316432260E-2,-5.419938266E-2,7.270900476E-2
1.865507042E0,1.420636312E-3,-7.455080003E-2,-1.243519410E-2,7.559414028E-2
1.875447042E0,3.214099631E-2,-1.402704269E-1,1.856932603E-2,1.450987807E-1
1.885388042E0,5.275336280E-2,-2.065814883E-1,3.498221934E-2,2.160615288E-1
1.895329042E0,6.142328307E-2,-2.325851321E-1,4.487772658E-2,2.447093658E-1
1.905270042E0,4.585894197E-2,-2.469513267E-1,5.949226022E-2,2.581227021E-1
1.915211042E0,6.580777001E-3,-2.626743615E-1,8.500214666E-2,2.761638856E-1
1.925152042E0,-2.540380321E-2,-2.770907581E-1,1.097226292E-1,2.991048258E-1
1.935093042E0,-4.630376026E-2,-2.621631920E-1,1.305448115E-1,2.965055232E-1
1.945034042E0,-6.939020008E-2,-2.554081380E-1,1.430277526E-1,3.008409129E-1
1.954975042E0,-9.457251430E-2,-2.378430068E-1,1.420522481E-1,2.927321260E-1
1.964916042E0,-1.115246490E-1,-2.078240514E-1,1.401087791E-1,2.743338361E-1
1.974856042E0,-1.209434494E-1,-1.695219427E-1,1.211246997E-1,2.409070358E-1
1.984797042E0,-1.393953264E-1,-1.542862058E-1,1.037756130E-1,2.323890448E-1
1.994738042E0,-1.626098305E-1,-1.661865413E-1,7.479163259E-2,2.442410936E-1
2.004679042E0,-1.816175729E-1,-1.812683493E-1,4.529114440E-2,2.605656251E-1
