"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.804523750E-1,2.547702026E-1,1.519789581E0,9.203760681E0,9.331874351E0
8.903943750E-1,4.472698975E-1,1.501677246E0,8.866362305E0,9.003747299E0
9.003353750E-1,5.638774109E-1,1.411564636E0,8.446934509E0,8.582608873E0
9.102773750E-1,7.282356262E-1,1.251397705E0,7.930358734E0,8.061446086E0
9.202183750E-1,7.710466003E-1,1.019529877E0,7.458539886E0,7.567282951E0
9.301603750E-1,7.274871826E-1,9.026229858E-1,7.223528595E0,7.315964135E0
9.401013750E-1,7.144642639E-1,8.598120117E-1,7.218139801E0,7.304195922E0
9.500433750E-1,7.767347717E-1,9.351054382E-1,7.291487274E0,7.392125929E0
9.599843750E-1,8.605604553E-1,1.017883301E0,7.476053467E0,7.593946678E0
9.699263750E-1,9.972262573E-1,1.106499023E0,7.795788574E0,7.936820509E0
9.798673750E-1,1.393601990E0,1.298849030E0,8.247549133E0,8.464703303E0
9.898093750E-1,1.899250488E0,1.399888916E0,8.686885529E0,9.001601057E0
9.997503750E-1,2.256707153E0,1.385369110E0,9.005123749E0,9.386385272E0
1.009692375E0,2.287842407E0,1.234931946E0,8.963659973E0,9.333085230E0
1.019633375E0,2.139800262E0,1.204844513E0,8.843609619E0,9.178225676E0
1.029574375E0,2.181862793E0,1.234931946E0,8.402177582E0,8.768247845E0
1.039516375E0,2.433190155E0,1.091979218E0,7.911048889E0,8.348504505E0
1.049457375E0,2.610870667E0,6.620732117E-1,7.479795685E0,7.949989312E0
1.059399375E0,2.725232849E0,2.387535095E-1,7.195836182E0,7.698308624E0
1.069340375E0,2.728226624E0,1.556762695E-2,6.869065704E0,7.391043669E0
1.079282375E0,2.682272186E0,-7.544311523E-2,6.698420563E0,7.215893138E0
1.089223375E0,2.837798767E0,-2.682421875E-1,6.669680328E0,7.253253849E0
1.099165375E0,2.985990601E0,-6.902146912E-1,6.508315887E0,7.193796764E0
1.109106375E0,2.824626160E0,-9.041198730E-1,6.609355774E0,7.244275632E0
1.119048375E0,1.815724182E0,-1.043480072E0,6.532565460E0,6.860037643E0
1.128989375E0,-4.834945679E-1,-1.035247192E0,6.348448334E0,6.450449596E0
1.138931375E0,-1.360670471E-1,-9.831555176E-1,6.946754150E0,7.017300210E0
1.148872375E0,2.172432404E0,-1.605261841E0,6.735992432E0,7.257404644E0
1.158814375E0,3.420836334E0,-2.137105865E0,5.963598633E0,7.199572998E0
1.168755375E0,3.803740082E0,-2.323917389E0,5.833818512E0,7.341830090E0
1.178697375E0,4.032015381E0,-2.196232910E0,6.664740601E0,8.093167137E0
1.188638375E0,4.369264069E0,-1.962119751E0,8.395740967E0,9.665859962E0
1.198579375E0,4.343816986E0,-1.873504028E0,9.559870148E0,1.066629648E1
1.208521375E0,4.938380585E0,-1.957329712E0,1.046279251E1,1.173408580E1
1.218462375E0,5.803431702E0,-2.096689911E0,1.094224548E1,1.256219186E1
1.228404375E0,6.446195068E0,-1.860780487E0,1.083117645E1,1.274089158E1
1.238345375E0,7.325017548E0,-1.625469818E0,1.037896683E1,1.280706784E1
1.248287375E0,8.180488586E0,-1.463207245E0,9.645791473E0,1.273195437E1
1.258228375E0,8.982221375E0,-1.014739838E0,8.377928009E0,1.232475864E1
1.268170375E0,9.420210571E0,-4.962181091E-1,7.246880035E0,1.189553991E1
1.278111375E0,1.000309845E1,-1.157093811E-1,6.850504303E0,1.212455263E1
1.288053375E0,1.037178177E1,2.454895020E-1,6.987170105E0,1.250818405E1
1.297994375E0,1.066711761E1,3.818559265E-1,7.084467773E0,1.281104585E1
1.307936375E0,1.093446167E1,1.713935852E-1,6.841822357E0,1.289970391E1
1.317877375E0,1.123967697E1,2.794688416E-1,7.133266296E0,1.331510155E1
1.327819375E0,1.154534134E1,2.520758057E-1,7.058871002E0,1.353462628E1
1.337760375E0,1.201042419E1,1.827699280E-1,6.614295502E0,1.371249792E1
1.347701375E0,1.170805298E1,2.381547546E-1,5.982309723E0,1.315002859E1
1.357643375E0,1.199231186E1,2.019300842E-1,5.654042358E0,1.325988365E1
1.367584375E0,1.183184555E1,2.736309814E-1,4.970114594E0,1.283625655E1
1.377526375E0,1.183439026E1,2.942880249E-1,4.580175476E0,1.269320313E1
1.387467375E0,1.179023209E1,3.519181824E-1,4.530628510E0,1.263566436E1
1.397409375E0,1.163605270E1,1.766326904E-1,4.545148315E0,1.249349010E1
1.407350375E0,1.147708328E1,-4.834945679E-2,4.681664429E0,1.239531202E1
